country,happiness_score,happiness_rank,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,is_happy
Pakistan,5.194,81,0.59543,0.41411,0.6168077101280999,0.12102,0.33671,0.10464,2015,False
Jordan,5.192,82,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,2015,False
Montenegro,5.192,82,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2015,False
China,5.14,84,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,2015,False
Zambia,5.129,85,0.9107543152940855,0.91612,0.29924,0.48827,0.19591,0.12468,2015,False
Romania,5.124,86,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,2015,False
Serbia,5.123,87,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2015,False
Portugal,5.102,88,1.15991,1.0761487544749853,0.6168077101280999,0.51469,0.13719,0.12493232866667803,2015,False
Latvia,5.098,89,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,2015,False
Philippines,5.073,90,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,2015,False
Somaliland Region,5.057,91,0.18847,0.95152,0.43873,0.46582,0.2189538221756804,0.39928,2015,False
Morocco,5.013,92,0.73479,0.64095,0.60954,0.4078966831779054,0.2189538221756804,0.08546,2015,False
Macedonia,5.007,93,0.9107543152940855,1.00232,0.73545,0.33457,0.22359,0.05327,2015,False
Mozambique,4.971,94,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015,False
Albania,4.959,95,0.87867,0.80434,0.81325,0.35733,0.14272,0.12493232866667803,2015,False
Bosnia And Herzegovina,4.949,96,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2015,False
Lesotho,4.898,97,0.37545,1.0761487544749853,0.07612,0.31767,0.16388,0.12504,2015,False
Dominican Republic,4.885,98,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,2015,False
Laos,4.876,99,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,2015,False
Mongolia,4.874,100,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,2015,False
Swaziland,4.867,101,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015,False
Greece,4.857,102,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,2015,False
Lebanon,4.839,103,0.9107543152940855,0.80001,0.83947,0.33916,0.21854,0.04582,2015,False
Hungary,4.8,104,1.12094,1.20215,0.6168077101280999,0.32112,0.128,0.02758,2015,False
Honduras,4.788,105,0.59532,0.95348,0.6168077101280999,0.40148,0.23027,0.06825,2015,False
Tajikistan,4.786,106,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2015,False
Tunisia,4.739,107,0.88113,0.60429,0.73793,0.26268,0.2189538221756804,0.06358,2015,False
Palestinian Territories,4.715,108,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2015,False
Bangladesh,4.694,109,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2015,False
Iran,4.686,110,1.0088,0.54447,0.69805,0.4078966831779054,0.38086,0.05863,2015,False
Ukraine,4.681,111,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015,False
Iraq,4.677,112,0.9107543152940855,0.81889,0.60237,0.0,0.17922,0.13788,2015,False
South Africa,4.642,113,0.92049,1.18468,0.27688,0.33207,0.2189538221756804,0.08884,2015,False
Ghana,4.633,114,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015,False
Zimbabwe,4.61,115,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2015,False
Liberia,4.571,116,0.0712,1.0761487544749853,0.6168077101280999,0.28531,0.24362,0.06232,2015,False
India,4.565,117,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015,False
Sudan,4.55,118,0.52107,1.01404,0.36878,0.10081,0.19062,0.12493232866667803,2015,False
Haiti,4.518,119,0.26673,0.74302,0.38847,0.24425,0.2189538221756804,0.17175,2015,False
Congo (Kinshasa),4.517,120,0.0,1.0012,0.6168077101280999,0.22605,0.24834,0.07625,2015,False
Nepal,4.514,121,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,2015,False
Ethiopia,4.512,122,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015,False
Sierra Leone,4.507,123,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,2015,False
Mauritania,4.436,124,0.45407,0.86908,0.35874,0.24232,0.219,0.12493232866667803,2015,False
Kenya,4.419,125,0.36471,1.0761487544749853,0.41435,0.42215,0.37542,0.05839,2015,False
Djibouti,4.369,126,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015,False
Armenia,4.35,127,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015,False
Botswana,4.332,128,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015,False
Myanmar,4.307,129,0.27108,0.70905,0.48246,0.44017,0.79588,0.12493232866667803,2015,False
Georgia,4.297,130,0.7419,0.38562,0.72926,0.40577,0.05547,0.12493232866667803,2015,False
Malawi,4.292,131,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2015,False
Sri Lanka,4.271,132,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,2015,False
Cameroon,4.252,133,0.4225,1.0761487544749853,0.23402,0.49309,0.20618,0.05786,2015,False
Bulgaria,4.218,134,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015,False
Egypt,4.194,135,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015,False
Yemen,4.077,136,0.9107543152940855,0.68093,0.6168077101280999,0.35571,0.09131,0.07854,2015,False
Angola,4.033,137,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,2015,False
Mali,3.995,138,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,2015,False
Congo (Brazzaville),3.989,139,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,2015,False
Comoros,3.956,140,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,2015,False
Uganda,3.931,141,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,2015,False
Senegal,3.904,142,0.9107543152940855,0.97619,0.4354,0.36772,0.20843,0.10713,2015,False
Gabon,3.896,143,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,2015,False
Niger,3.845,144,0.0694,0.77265,0.29707,0.4078966831779054,0.19387,0.15639,2015,False
Cambodia,3.819,145,0.9107543152940855,0.62736,0.61114,0.4078966831779054,0.40359,0.07247,2015,False
Tanzania,3.781,146,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,2015,False
Madagascar,3.681,147,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,2015,False
Central African Republic,3.678,148,0.0785,0.0,0.06699,0.48879,0.23835,0.12493232866667803,2015,False
Chad,3.667,149,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015,False
Guinea,3.656,150,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015,False
Ivory Coast,3.655,151,0.9107543152940855,0.77115,0.15185,0.46866,0.20165,0.17922,2015,False
Burkina Faso,3.587,152,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,2015,False
Afghanistan,3.575,153,0.31982,0.30285,0.30335,0.23414,0.3651,0.12493232866667803,2015,False
Rwanda,3.465,154,0.22208,1.0761487544749853,0.42864,0.59201,0.22628,0.55191,2015,False
Benin,3.34,155,0.28665,0.35386,0.6168077101280999,0.4078966831779054,0.1826,0.12493232866667803,2015,False
Syria,3.006,156,0.6632,1.0761487544749853,0.72193,0.15684,0.47179,0.18906,2015,False
Burundi,2.905,157,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,2015,False
Togo,2.839,158,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,2015,False
Denmark,7.526,1,1.44178,1.16374,0.79504,0.4078966831779054,0.36171,0.44453,2016,True
Switzerland,7.509,2,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2016,True
Iceland,7.501,3,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2016,True
Norway,7.498,4,1.57744,1.0761487544749853,0.79579,0.59609,0.37895,0.35776,2016,True
Finland,7.413,5,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016,True
Canada,7.404,6,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016,True
Netherlands,7.339,7,1.46468,1.0761487544749853,0.81231,0.55211,0.47416,0.29927,2016,True
New Zealand,7.334,8,0.9107543152940855,1.17278,0.83096,0.58147,0.49401,0.41904,2016,True
Australia,7.313,9,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2016,True
Sweden,7.291,10,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2016,True
Israel,7.267,11,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,2016,True
Austria,7.119,12,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2016,True
United States,7.104,13,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2016,True
Costa Rica,7.087,14,1.06879,1.02152,0.76146,0.55225,0.2189538221756804,0.10547,2016,True
Puerto Rico,7.039,15,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,2016,True
Germany,6.994,16,1.44787,1.09774,0.81487,0.4078966831779054,0.30452,0.12493232866667803,2016,True
Brazil,6.952,17,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,2016,True
Belgium,6.929,18,1.42539,1.05249,0.81959,0.51354,0.2189538221756804,0.26248,2016,True
Ireland,6.907,19,1.48341,1.0761487544749853,0.81455,0.54008,0.44963,0.29754,2016,True
Luxembourg,6.871,20,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2016,True
Mexico,6.778,21,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,2016,True
Singapore,6.739,22,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,2016,True
United Kingdom,6.725,23,1.40283,1.08672,0.80991,0.4078966831779054,0.50156,0.27399,2016,True
Chile,6.705,24,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2016,True
Panama,6.701,25,0.9107543152940855,0.98912,0.70835,0.48927,0.2189538221756804,0.08423,2016,True
Argentina,6.65,26,1.15137,1.06612,0.69711,0.42284,0.2189538221756804,0.07296,2016,True
Czech Republic,6.596,27,1.30915,1.00793,0.76376,0.41418,0.09929,0.12493232866667803,2016,True
United Arab Emirates,6.573,28,1.57352,1.0761487544749853,0.72993,0.56215,0.26591,0.35561,2016,True
Uruguay,6.545,29,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2016,True
Malta,6.488,30,1.30782,1.0761487544749853,0.80315,0.54994,0.56237,0.17554,2016,True
Colombia,6.481,31,1.03032,1.02169,0.6168077101280999,0.44735,0.15626,0.05399,2016,True
France,6.478,32,1.39488,1.00508,0.83795,0.4078966831779054,0.2189538221756804,0.17808,2016,True
Thailand,6.474,33,1.0893,1.04477,0.64915,0.49553,0.2189538221756804,0.12493232866667803,2016,True
Saudi Arabia,6.379,34,1.48953,0.84829,0.59267,0.37904,0.2189538221756804,0.30008,2016,True
Taiwan,6.379,34,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2016,True
Qatar,6.375,36,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,2016,True
Spain,6.361,37,0.9107543152940855,1.12945,0.87896,0.37545,0.17665,0.06137,2016,True
Algeria,6.355,38,1.05266,0.83309,0.61804,0.21006,0.07044,0.12493232866667803,2016,True
Guatemala,6.324,39,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,2016,True
Suriname,6.269,40,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,2016,True
Kuwait,6.239,41,1.61714,0.87758,0.63569,0.43166,0.15965,0.12493232866667803,2016,True
Bahrain,6.218,42,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2016,True
Trinidad And Tobago,6.168,43,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,2016,True
Venezuela,6.084,44,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,2016,True
Slovakia,6.078,45,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2016,True
El Salvador,6.068,46,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,2016,True
Malaysia,6.005,47,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,2016,True
Nicaragua,5.992,48,0.69384,1.0761487544749853,0.65213,0.46582,0.29773,0.16292,2016,True
Uzbekistan,5.987,49,0.73591,1.1681,0.6168077101280999,0.60848,0.34326,0.28333,2016,True
Italy,5.977,50,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,2016,True
Ecuador,5.976,51,0.9107543152940855,0.85974,0.68613,0.4027,0.10074,0.18037,2016,True
Belize,5.956,52,0.87616,0.68655,0.6168077101280999,0.51231,0.23684,0.10771,2016,True
Japan,5.921,53,1.38007,1.0761487544749853,0.91491,0.46761,0.10224,0.18985,2016,True
Kazakhstan,5.919,54,0.9107543152940855,0.95544,0.57386,0.4052,0.15011,0.11132,2016,True
Moldova,5.897,55,0.69177,1.0761487544749853,0.52309,0.4078966831779054,0.19997,0.01903,2016,True
Russia,5.856,56,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,2016,True
Poland,5.835,57,0.9107543152940855,1.04685,0.69058,0.4519,0.14443,0.055,2016,True
South Korea,5.835,57,0.9107543152940855,0.72194,0.88645,0.25168,0.18824,0.07716,2016,True
Bolivia,5.822,59,0.79422,0.83779,0.6168077101280999,0.50961,0.21698,0.07746,2016,True
Lithuania,5.813,60,1.2692,1.06411,0.64674,0.18929,0.2189538221756804,0.0182,2016,True
Belarus,5.802,61,1.13062,1.04993,0.63104,0.29091,0.13942,0.12493232866667803,2016,True
North Cyprus,5.771,62,1.31141,0.81826,0.6168077101280999,0.43596,0.2189538221756804,0.12493232866667803,2016,True
Slovenia,5.768,63,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,2016,True
Peru,5.743,64,0.9107543152940855,0.81255,0.62994,0.37502,0.14527,0.05292,2016,True
Turkmenistan,5.658,65,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467,2016,True
Mauritius,5.648,66,1.14372,1.0761487544749853,0.6168077101280999,0.46145,0.36951,0.05203,2016,True
Libya,5.615,67,1.06688,1.0761487544749853,0.52304,0.40672,0.17087,0.10339,2016,True
Latvia,5.56,68,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,2016,True
Cyprus,5.546,69,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,2016,True
Paraguay,5.538,70,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,2016,True
Romania,5.528,71,1.1697,0.72803,0.67602,0.36712,0.2189538221756804,0.00679,2016,True
Estonia,5.517,72,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,2016,True
Jamaica,5.51,73,0.9107543152940855,0.96372,0.59469,0.43597,0.22245,0.04294,2016,True
Croatia,5.488,74,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,2016,True
Hong Kong,5.458,75,1.5107,1.0761487544749853,0.95277,0.4078966831779054,0.40097,0.31647,2016,True
Somalia,5.44,76,0.0,0.33613,0.11466,0.56778,0.27225,0.3118,2016,True
Kosovo,5.401,77,0.90145,0.66062,0.6168077101280999,0.14396,0.27992,0.06547,2016,True
Turkey,5.389,78,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348,2016,True
Indonesia,5.314,79,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,2016,True
Jordan,5.303,80,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297,2016,False
Azerbaijan,5.291,81,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,2016,False
Philippines,5.279,82,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,2016,False
China,5.245,83,1.0278,0.79381,0.73561,0.4078966831779054,0.04959,0.02745,2016,False
Bhutan,5.196,84,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616,2016,False
Kyrgyzstan,5.185,85,0.56044,0.95434,0.55449,0.40212,0.38432,0.12493232866667803,2016,False
Serbia,5.177,86,1.03437,0.81329,0.6168077101280999,0.4078966831779054,0.20737,0.04339,2016,False
Bosnia And Herzegovina,5.163,87,0.93383,0.64367,0.70766,0.09511,0.29889,0.0,2016,False
Montenegro,5.161,88,1.07838,0.74173,0.6168077101280999,0.15111,0.17191,0.12721,2016,False
Dominican Republic,5.155,89,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372,2016,False
Morocco,5.151,90,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404,2016,False
Hungary,5.145,91,0.9107543152940855,0.93164,0.67608,0.1977,0.099,0.04472,2016,False
Pakistan,5.132,92,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,2016,False
Lebanon,5.129,93,0.9107543152940855,0.64184,0.76171,0.26228,0.23693,0.03061,2016,False
Portugal,5.123,94,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521,2016,False
Macedonia,5.121,95,1.0193,0.78236,0.64738,0.27668,0.23507,0.07047,2016,False
Vietnam,5.061,96,0.74037,1.0761487544749853,0.66157,0.55954,0.25075,0.11556,2016,False
Somaliland Region,5.057,97,0.25558,0.75862,0.33108,0.3913,0.51479,0.36794,2016,False
Tunisia,5.045,98,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817,2016,False
Greece,5.033,99,1.24886,0.75473,0.80029,0.05822,0.0,0.04127,2016,False
Tajikistan,4.996,100,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509,2016,False
Mongolia,4.907,101,0.98853,1.08983,0.55469,0.35972,0.2189538221756804,0.12493232866667803,2016,False
Laos,4.876,102,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423,2016,False
Nigeria,4.875,103,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,2016,False
Honduras,4.871,104,0.69429,0.75596,0.58383,0.4078966831779054,0.2044,0.12493232866667803,2016,False
Iran,4.813,105,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,2016,False
Zambia,4.795,106,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,2016,False
Nepal,4.793,107,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008,2016,False
Palestinian Territories,4.754,108,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613,2016,False
Albania,4.655,109,0.9107543152940855,0.50163,0.6168077101280999,0.31866,0.1684,0.05301,2016,False
Bangladesh,4.643,110,0.54177,0.24749,0.52989,0.39778,0.2189538221756804,0.12583,2016,False
Sierra Leone,4.635,111,0.36485,0.628,0.0,0.30685,0.23897,0.08196,2016,False
Iraq,4.575,112,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636,2016,False
Namibia,4.574,113,0.93287,0.70362,0.34745,0.4078966831779054,0.07795,0.12493232866667803,2016,False
Cameroon,4.513,114,0.52497,0.62542,0.12698,0.42736,0.2268,0.12493232866667803,2016,False
Ethiopia,4.508,115,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,2016,False
South Africa,4.459,116,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415,2016,False
Sri Lanka,4.415,117,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964,2016,False
India,4.404,118,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,2016,False
Myanmar,4.395,119,0.34112,0.69981,0.3988,0.4078966831779054,0.81971,0.20243,2016,False
Egypt,4.362,120,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393,2016,False
Armenia,4.36,121,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,2016,False
Kenya,4.356,122,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686,2016,False
Ukraine,4.324,123,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,2016,False
Ghana,4.276,124,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326,2016,False
Congo (Kinshasa),4.272,125,0.05661,1.0761487544749853,0.188,0.15602,0.25458,0.06075,2016,False
Georgia,4.252,126,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188,2016,False
Congo (Brazzaville),4.236,127,0.77109,0.47799,0.28212,0.4078966831779054,0.12077,0.09753,2016,False
Senegal,4.219,128,0.44314,0.77416,0.40457,0.31056,0.19103,0.12493232866667803,2016,False
Bulgaria,4.217,129,0.9107543152940855,0.92542,0.67806,0.21219,0.12793,0.00615,2016,False
Mauritania,4.201,130,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955,2016,False
Zimbabwe,4.193,131,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582,2016,False
